Spectrum	Date	Time	NO (350,3000) 191C	NO2 (150) 191C (1of2)	NO2 (2000) 191C (2of2)	N2O (100,200,300) 191C (1of2)	NH3 (300) 191C (1of2)	NH3 (3000) 191C (2of2)	HNCO (400) 191C	H2O% (25) 191C	Formaldehyde (70,500) 191C	CO (500) 191C (1of3)	CO% (1) 191C (2of3)	CO2 low% (4) 191C (2of2)	Propylene (200,1000) 191C	Diesel C1 (4500) 191C	Ethylene (100,3000) 191C	CH4 (250) 191C (1of2)	CH4 (3000) 191C (2of2)	Ethane (1000) 191C	Acetylene (1000) 191C	HNO2 (20) 191C	N2O (1040) 191C (2of2)	CO% (10) 191C (3of3)	MeOH (1000) 191C	Formic Acid (100) 191C	SO2 (300) 191C	Temp (C)	Pressure (Atm)	NOx autorange	CO autorange	CH4 autorange	NH3 autorange	NOx autorange dry	CO autorange dry	CO2% autorange dry	N2O dry	NH3 autorange dry	FIDeq THC ppmC	FIDeq NMHC ppmC	FIDeq NMNEHC ppmC	CO2% autorange	FTIR NMHC ppmC	FTIR NMNEHC ppmC	Igram DC	Igram PP	phase Angle	laser PP	laser DC	Bad Scan counter	Centerburst Location	Linearizer Check	SNR 2500	sBeam @ 2500	
N/A	08.07.2026	16:30:21,000	0,387660	0,753526	0,630816	0,512397	2,401189	3,316927	0,063115	-0,020939	-0,118040	-0,044625	0,000028	0,004475	-0,480130	-3,676209	-0,077866	0,427011	-0,065936	-0,077743	-0,060372	0,536281	1,171773	0,004445	-0,043285	0,335355	-0,289166	192,607239	0,993828	1,141186	1725,855495	0,000028	2,401189	1,140972	1709,310801	0,334657	0,516061	2,403105	-8,195453	-8,195483	-7,235223	0,335355	-7,426003	-6,465743	5,511941	7,634414	92,470589	7,215686	-4,980392	0,000000	567,080252	0,002573	286,959445	1,562840
N/A	08.07.2026	16:30:21,200	0,450817	0,588201	0,983456	0,412430	2,353406	3,197597	-0,735474	-0,022834	-0,114602	0,233098	0,000092	0,015407	-0,227310	-1,748481	0,035850	0,222874	-2,592723	-0,341666	0,557971	1,601274	0,672394	0,011234	-0,520800	0,341193	-0,067689	192,607239	0,993828	1,039018	2330,980429	0,000092	2,353406	1,030848	2311,776008	0,338500	0,409859	2,336098	-10,681989	-10,682090	-10,227470	0,341193	-10,018589	-9,563969	5,511949	7,635719	92,470589	7,215686	-4,980392	0,000000	567,080049	0,002677	279,557977	1,562839
N/A	08.07.2026	16:30:21,400	0,642408	0,374587	3,222964	0,549593	2,395088	-0,242466	0,155144	-0,006041	-0,329521	0,129132	0,000342	0,017781	-0,371214	0,402670	0,026938	-0,232230	-2,483418	-0,235267	0,672455	1,385587	2,712435	0,001209	-1,085663	0,170599	-0,168550	192,607239	0,993828	1,016995	1291,322568	0,000342	2,395088	1,022667	1292,135713	0,169510	0,549594	2,400805	-8,360954	-8,361330	-7,618903	0,170599	-5,318253	-4,575826	5,511970	7,636891	92,470589	7,215686	-4,980392	0,000000	567,079773	0,002869	269,867629	1,563532
N/A	08.07.2026	16:30:21,600	0,935398	0,672475	-4,079674	0,413527	2,693866	-2,712406	1,479726	-0,002358	-0,347202	0,108379	0,000368	-0,000055	-1,707223	0,014895	0,082694	-0,358437	-2,755528	-0,482729	0,513574	-0,551674	4,145023	-0,007432	-0,867017	-0,067933	-0,345167	192,607239	0,993828	1,607872	2006,136660	0,000368	2,693866	1,636397	2001,971909	-0,069081	0,418927	2,735157	-13,496507	-13,496911	-10,082466	-0,067933	-9,290664	-5,876219	5,511984	7,636665	92,470589	7,215686	-4,980392	0,000000	567,079642	0,002856	286,090547	1,564421
N/A	08.07.2026	16:30:21,800	0,027690	0,457953	1,331603	0,645607	2,562168	6,739338	-1,871858	0,012515	-0,759055	0,132551	0,000310	-0,008127	0,683021	0,400545	0,470855	-0,404427	4,575715	-0,921141	1,080098	1,906557	-7,664391	-0,012877	1,039987	-0,035833	-0,098512	192,607239	0,993828	0,485643	11299,730452	0,000310	2,562168	0,480577	11061,870916	-0,035288	0,633030	2,515821	14,690927	14,690585	13,324542	-0,035833	8,631485	7,265442	5,511955	7,637409	92,470589	7,215686	-4,980392	0,000000	567,080153	0,002951	269,886169	1,563160
N/A	08.07.2026	16:30:22,000	0,348123	0,344746	-0,310298	0,460916	2,459618	1,517813	-0,714494	0,031002	-0,386359	-0,790460	0,000468	-0,000708	0,241447	-1,037112	0,416918	-0,893818	-0,123925	0,075604	0,297357	0,938556	-0,863785	-0,013212	-0,396505	-0,159666	1,035218	192,607239	0,993828	0,692869	2931,187495	0,000468	2,459618	0,689412	2868,637396	-0,159120	0,456739	2,441920	0,619727	0,619212	0,136318	-0,159666	-0,249495	-0,732388	5,511970	7,636809	92,470589	7,215686	-4,980392	0,000000	567,081034	0,003137	245,619516	1,565189
N/A	08.07.2026	16:30:22,200	0,724930	0,239465	0,513213	0,417033	2,475310	0,992886	1,132297	0,033037	0,115126	-0,257481	0,000226	0,004720	1,208712	-0,487036	0,105768	0,185088	-0,006438	0,545105	-0,932230	-1,271765	1,605650	-0,002922	-1,265663	-0,098576	1,022878	192,607239	0,993828	0,964395	1793,389505	0,000226	2,475310	0,977207	1831,181554	-0,098756	0,422070	2,504408	6,374575	6,374327	3,956903	-0,098576	6,952848	4,535425	5,511979	7,635246	92,470589	7,215686	-4,980392	0,000000	567,081117	0,003128	232,215574	1,566275
N/A	08.07.2026	16:30:22,400	0,928171	0,162872	3,089908	0,627874	2,428901	-1,029040	0,008063	0,016961	0,308349	0,240110	0,000147	0,002713	1,531364	-1,923814	0,035643	0,655550	2,980017	0,628590	-0,279935	0,950065	1,562148	0,005396	-1,070125	0,186291	-0,073134	192,607239	0,993828	1,091043	2401,103890	0,000147	2,428901	1,091462	2418,726329	0,180616	0,623018	2,432476	9,660347	9,660185	6,597457	0,186291	11,188158	8,125430	5,511957	7,635025	92,470589	7,215686	-4,980392	0,000000	567,080571	0,002880	243,081041	1,565579
N/A	08.07.2026	16:30:22,600	0,829439	0,145277	3,677544	0,793867	2,411244	-2,471797	-1,107976	-0,008278	0,213121	-0,069605	0,000344	-0,002746	0,310009	-3,242583	-0,055408	0,190979	3,103583	0,490876	1,854200	3,416512	3,310611	0,003130	-0,409967	0,290623	-0,764790	192,607239	0,993828	0,974716	1179,207976	0,000344	2,411244	0,959114	1148,402655	0,279927	0,781787	2,389980	0,685496	0,685118	0,065101	0,290623	6,016501	5,396484	5,511923	7,635872	92,470589	7,215686	-4,980392	0,000000	567,080001	0,002532	267,819359	1,563905
N/A	08.07.2026	16:30:22,800	0,462332	0,254882	0,314861	0,546930	2,648193	4,586033	2,447371	-0,024458	0,044979	-0,640088	0,000433	-0,006036	-1,198185	0,778179	-0,674955	0,175948	-2,949877	0,100681	2,660163	-1,988673	7,184264	-0,006050	-0,278815	-0,115103	0,233256	192,607239	0,993828	0,717215	0,044979	0,000433	2,648193	0,730018	0,052653	-0,122747	0,560879	2,715003	-9,483524	-9,484001	-7,087631	-0,115103	0,259695	2,656064	5,511922	7,635598	92,470589	7,215686	-4,980392	0,000000	567,079956	0,002367	278,904068	1,562518
